Code,Title,Description
celery,Celery
gluten,Gluten
crustaceans,Crustaceans
eggs,Eggs
fish,Fish
lupin,Lupin
milk,Milk
molluscs,Molluscs
mustard,Mustard
nuts,Nuts
peanuts,Peanuts
sesame_seeds,Sesame Seeds
soya,Soya
sulphites,Sulphites
