Code,Title,Description
aluminium,Aluminium,
bamboo,Bamboo,
cork,Cork,
fibreboard,Fibreboard,
glass,Glass,
hdpe,High Density Polyethylene (HDPE),
ldpe,Low Density Polyethylene (LDPE),
Llldpe,inear Low Density Polyethylene (LLDPE),
paper,Paper,
paperboard,Paperboard,
pet,Polyethylene Terephthalate (PET),
pp,Polypropylene (PP),
tin-plated-steel,Tin-Plated Steel,
wood,Wood,
