Code,Title,Description
none,No cleaning needed,
acoustic,Acoustic Clean,
carbon_dioxide,Carbon Dioxide Clean,
dry,Dry Clean,
green,Green Clean,
steam,Steam Clean,
thermal,Thermal Clean,
uv,UV,
washing,Washing,
